ID;Growth rate;Growth rate SE;R^2;adj R^2
10 L1 1;0.009808826;0.002585474;0.566811153;0.527430349
10 L1 2;0.009007658;0.004132644;0.37258895;0.294162569
10 L1 3;0.008017766;0.002894855;0.410851766;0.357292835
10 5 1;0.006719042;0.00271936;0.404168362;0.337964847
10 5 2;0.010601778;0.003331021;0.529530942;0.477256602
10 5 3;0.012133714;0.003610555;0.556514538;0.507238376
16 L1 1;0.007765708;0.002045239;0.567218352;0.527874566
16 L1 2;0.007002248;0.002266782;0.464520867;0.415840946
16 L1 3;0.008167842;0.001836692;0.642580424;0.610087735
16 5 1;0.01187068;0.003378696;0.57833416;0.5314824
16 5 2;0.011122888;0.003653452;0.50735963;0.452621811
16 5 3;0.010236443;0.002833369;0.591882036;0.546535595
20 L1 1;0.010316703;0.002905368;0.677574759;0.623837219
20 L1 2;0.011205922;0.003593807;0.618385496;0.554783079
20 L1 3;0.006808818;0.00256273;0.540543736;0.463967692
20 5 1;-0.007632612;0.008620702;0.080121513;-0.022087208
20 5 2;-0.01656321;0.008114184;0.316460953;0.24051217
20 5 3;-0.031311014;0.01364837;0.368996347;0.29888483
25 L1 1;0.214168051;0.015932971;0.967859852;0.962503161
25 L1 2;0.130194221;0.013252692;0.941469491;0.931714406
25 L1 3;0.251017634;0.019354581;0.971132603;0.965359123
25 5 1;-0.124960561;0.006034936;0.979440155;0.977155728
25 5 2;-0.098747029;0.010294339;0.910902919;0.901003243
25 5 3;-0.12741928;0.013029435;0.913987128;0.904430142
29 L1 1;0.710322106;0.117686576;0.973283321;0.946566641
29 L1 2;0.700323339;0.163950514;0.948041601;0.896083202
29 L1 3;0.835720922;0.105248783;0.984387314;0.968774628
29 5 1;0.435717859;0.04776435;0.988125667;0.976251335
29 5 2;0.495634358;0.046525714;0.991265196;0.982530393
29 5 3;0.575217648;0.037298973;0.99581296;0.99162592
31 L1 1;0.980961642;0.2966716;0.916201032;0.832402063
31 L1 2;0.799328132;0.221865174;0.928468818;0.856937636
31 L1 3;0.888866621;0.138601219;0.976262898;0.952525797
31 5 1;0.049983274;0.011949363;0.813926241;0.767407801
31 5 2;0.144598955;0.037989287;0.743431673;0.692118007
31 5 3;0.125084784;0.035435906;0.756988265;0.696235332
34 L1 1;0.012379021;0.007819468;0.185560076;0.111520083
34 L1 2;0.010659428;0.007571482;0.152673615;0.075643943
34 L1 3;0.011347672;0.00388469;0.43684997;0.385654512
34 5 1;0.013741945;0.002792793;0.729008335;0.69889815
34 5 2;0.012981047;0.003470255;0.608568799;0.565076444
34 5 3;0.013335791;0.003369042;0.63516082;0.594623133
