ID;Growth rate;Growth rate SE;R^2;adj R^2
10 L1 1;0.270595291;0.035503893;0.950890744;0.934520993
10 L1 2;0.180712951;0.0373053;0.886646654;0.848862205
10 L1 3;0.081692601;0.047568959;0.42440201;0.280502512
10 5 1;0.143594138;0.062023246;0.517374317;0.420849181
10 5 2;-0.019051178;0.048402163;0.018997406;-0.103627919
10 5 3;-0.010208332;0.045006264;0.006389835;-0.117811435
16 L1 1;0.389512355;0.167977643;0.641876288;0.522501717
16 L1 2;0.358792606;0.118315836;0.754018673;0.672024897
16 L1 3;0.321149327;0.107232367;0.642074214;0.570489056
16 5 1;0.086684272;0.038369039;0.421683337;0.339066671
16 5 2;0.074048987;0.023928351;0.544850164;0.487956435
16 5 3;0.110612998;0.034911443;0.58917012;0.530480137
20 L1 1;0.242156492;0.041337426;0.810949291;0.787317952
20 L1 2;0.238897197;0.04617603;0.769892347;0.74112889
20 L1 3;0.24962075;0.059860902;0.684903031;0.64551591
25 L1 1;0.196896999;0.048818978;0.670330816;0.629122168
25 L1 2;0.168084491;0.041046332;0.677015327;0.636642243
25 L1 3;0.335101556;0.039178652;0.924200951;0.911567776
25 5 1;0.109294843;0.050559707;0.368733718;0.289825432
25 5 2;0.031483787;0.020752329;0.223425745;0.126353963
25 5 3;0.107150087;0.03761196;0.503593772;0.441542993
29 5 1;0.050840812;0.023077498;0.377597358;0.299797027
29 5 2;0.11804234;0.033725316;0.671246836;0.616454642
29 5 3;0.052564731;0.056048123;0.111625812;-0.015284786
31 L1 1;0.166649596;0.024291331;0.854719393;0.836559317
31 L1 2;0.165418785;0.032624538;0.762672872;0.733006981
31 L1 3;0.128532839;0.041458815;0.54575322;0.488972372
31 5 1;0.033676712;0.038304035;0.088109552;-0.025876755
31 5 2;0.00996569;0.031272429;0.012534968;-0.110898161
31 5 3;0.072938761;0.046555496;0.234784168;0.139132189
34 L1 1;-0.06279816;0.026981494;0.403743186;0.329211085
34 L1 2;-0.131434762;0.022803269;0.805929054;0.781670186
34 L1 3;-0.209045778;0.04852579;0.698775605;0.661122555
34 5 1;-0.108535847;0.088157851;0.335656903;0.114209204
34 5 2;-0.138331314;0.045610605;0.534838763;0.476693608
34 5 3;-0.130078519;0.027707382;0.733692284;0.70040382
20 5 1;-0.088770115;0.100361751;0.206840803;-0.057545596
20 5 2;0.053894874;0.172209579;0.031615981;-0.291178691
20 5 3;0.011992559;0.039274992;0.030142425;-0.293143433
29 L1 1;-0.224063411;0.103942024;0.607682086;0.476909449
29 L1 2;0.085815357;0.098284444;0.202628269;-0.063162309
29 L1 3;-0.105558803;0.049186475;0.605560016;0.474080022
