ID;Growth rate;Growth rate SE;R^2;adj R^2
10 L1 1;-0.17816019;0.011268097;0.984251262;0.980314077
10 L1 2;-0.190291737;0.021017198;0.953475749;0.941844686
10 L1 3;-0.234512073;0.022421799;0.964724451;0.955905564
10 5 1;-0.195082711;0.014956784;0.977027633;0.971284542
10 5 2;-0.209008607;0.021572184;0.959130657;0.948913321
10 5 3;-0.220640835;0.023042599;0.958197139;0.947746424
16 L1 1;0.63384754;0.015324288;0.997667419;0.997084273
16 L1 2;0.629232905;0.009070558;0.999169491;0.998961864
16 L1 3;0.549762039;0.022629157;0.993268468;0.991585586
16 5 1;0.214846633;0.010869958;0.984873779;0.982352742
16 5 2;0.263389755;0.015251334;0.980279448;0.976992689
16 5 3;0.259893884;0.017316293;0.978285329;0.973942395
20 L1 1;0.969583388;0.002319376;0.999994278;0.999988555
20 L1 2;0.969721911;0.02886188;0.999114945;0.99822989
20 L1 3;0.95513166;0.003962878;0.999982786;0.999965572
20 5 1;0.659215142;0.011661546;0.99968716;0.99937432
20 5 2;0.703398608;0.009412469;0.99982097;0.99964194
20 5 3;0.649014243;0.040320535;0.996155223;0.992310447
25 L1 1;1.018976801;0.021344266;0.999561426;0.999122851
25 L1 2;1.056825476;0.041589586;0.998453711;0.996907423
25 L1 3;1.126541572;0.084372647;0.994421986;0.988843972
25 5 1;0.699479418;0.115634799;0.973397799;0.946795597
25 5 2;0.682460586;0.09086189;0.982582831;0.965165663
25 5 3;0.718409321;0.118368035;0.973570298;0.947140595
29 L1 1;0.976331504;0.029663244;0.998157228;0.997235842
29 L1 2;0.761266442;0.024593833;0.997916932;0.996875398
29 L1 3;0.864744764;0.013627538;0.999503553;0.999255329
29 5 1;0.626844761;0.006806143;0.999882122;0.999764245
29 5 2;0.680349656;0.026322477;0.99850535;0.997010699
29 5 3;0.668885844;0.028717731;0.998160091;0.996320181
31 L1 1;0.671004037;0.007837722;0.999863582;0.999727165
31 L1 2;0.619667963;0.010816756;0.99969539;0.999390781
31 L1 3;0.828148723;0.013166789;0.999747284;0.999494567
31 5 1;0.414943241;0.013184809;0.99899137;0.997982739
31 5 2;0.394235051;0.017876896;0.99794798;0.995895959
31 5 3;0.397832749;0.003049185;0.999941259;0.999882518
34 L1 1;-0.030263057;0.012554443;0.491987381;0.407318611
34 L1 2;-0.038612462;0.013528533;0.575857;0.5051665
34 L1 3;-0.038563012;0.014398846;0.544514698;0.468600481
34 5 1;-0.096991463;0.028342701;0.661222624;0.604759728
34 5 2;-0.063546828;0.020060042;0.625822132;0.563459154
34 5 3;-0.039143449;0.018054148;0.439289951;0.345838277
