ID;Growth rate;Growth rate SE;R^2;adj R^2
10 L1 1;0.012902805;0.005220095;0.303814498;0.254086962
10 L1 2;0.013680518;0.004520573;0.395466946;0.352286013
10 L1 3;0.04155009;0.010284905;0.644561993;0.605068881
10 5 1;0.038033069;0.014913766;0.419486456;0.354984951
10 5 2;0.027838523;0.012541205;0.353789703;0.281988558
10 5 3;0.054212639;0.014648706;0.603459228;0.559399143
16 L1 1;0.260105662;0.01866723;0.955698002;0.950775558
16 L1 2;0.30500816;0.01400673;0.98137366;0.979304066
16 L1 3;0.284466499;0.015241152;0.97481522;0.972016911
16 5 1;0.321750292;0.035775438;0.952877423;0.941096778
16 5 2;0.338083763;0.016271282;0.988551093;0.986261311
16 5 3;0.327715518;0.029364192;0.961406073;0.953687287
20 L1 1;0.809080533;0.061190305;0.983130044;0.977506725
20 L1 2;0.760778843;0.048525075;0.987942192;0.983922923
20 L1 3;0.848996402;0.053947167;0.991989445;0.987984167
20 5 1;0.549880582;0.023183631;0.996457459;0.994686188
20 5 2;0.652432614;0.016500658;0.998722367;0.998083551
20 5 3;0.578090788;0.058721953;0.979780625;0.969670937
25 L1 1;0.955066901;0.038377703;0.996781006;0.99517151
25 L1 2;1.046527994;0.048123058;0.995788838;0.993683257
25 L1 3;1.067153166;0.028524932;0.99857306;0.997859591
25 5 1;0.98800293;0.257181287;0.93654157;0.87308314
25 5 2;1.012670854;0.0594207;0.996568799;0.993137597
25 5 3;0.893676718;0.317780876;0.887750239;0.775500478
29 L1 1;1.053962033;0.199700654;0.965343021;0.930686042
29 L1 2;1.004425938;0.229578847;0.950350844;0.900701688
29 L1 3;1.055680616;0.015215033;0.99958473;0.999377095
29 5 1;0.926582853;0.013747421;0.999779921;0.999559842
29 5 2;0.748476251;0.234636454;0.910520293;0.821040587
29 5 3;0.825533999;0.186581072;0.951400839;0.902801678
31 L1 1;0.798931193;0.096600713;0.971591035;0.957386553
31 L1 2;0.907747718;0.092168975;0.979797482;0.969696223
31 L1 3;0.834844633;0.043432411;0.994616038;0.991924057
31 5 1;0.672074042;0.230562523;0.809466245;0.714199367
31 5 2;0.654465509;0.269875577;0.746222997;0.619334495
31 5 3;0.663420643;0.299996494;0.709741668;0.564612501
34 L1 1;1.098465886;0.034367336;0.999022102;0.998044203
34 L1 2;0.987577184;0.064494405;0.995753279;0.991506558
34 L1 3;0.726590513;0.023417893;0.998962316;0.997924631
34 5 1;0.618766933;0.037960767;0.992528825;0.988793238
34 5 2;0.59557292;0.077814188;0.96698602;0.95047903
34 5 3;0.723836121;0.055575725;0.988347226;0.98252084
