ID;Growth rate;Growth rate SE;R^2;adj R^2
10 L1 1;0.002539919;0.003271179;0.079296312;-0.052232786
10 L1 2;0.000325025;0.004487957;0.00074871;-0.142001474
10 L1 3;0.00881301;0.005008146;0.306701898;0.207659312
10 5 1;0.011986975;0.014417774;0.089872534;-0.040145675
10 5 2;0.014636882;0.018491939;0.082149716;-0.048971753
10 5 3;-0.003466307;0.002695524;0.191094228;0.07553626
16 L1 1;-0.006281434;0.015650132;0.022495839;-0.117147612
16 L1 2;-0.00162685;0.005922661;0.010663686;-0.130670074
16 L1 3;0.001858195;0.00321318;0.045598025;-0.090745114
16 5 1;-0.004880416;0.002417826;0.367911443;0.277613078
16 5 2;-0.005268564;0.00229554;0.429392403;0.347877031
16 5 3;0.147866214;0.09007546;0.277962701;0.174814515
20 L1 1;-0.083895063;0.020773996;0.699689429;0.656787919
20 L1 2;-0.072223757;0.02352973;0.573733062;0.512837785
20 L1 3;-0.103933152;0.026508216;0.687117214;0.642419673
20 5 1;-0.134363174;0.017882875;0.889681859;0.873922124
20 5 2;-0.109900853;0.028673099;0.67728626;0.631184298
20 5 3;-0.158304195;0.025579486;0.845475351;0.823400401
25 L1 1;0.529970481;0.037075679;0.980799389;0.975999237
25 L1 2;0.548497386;0.02685293;0.992860893;0.990481191
25 L1 3;0.57069407;0.028017672;0.990451164;0.988063955
25 5 1;0.074053706;0.008275953;0.975629889;0.963444833
25 5 2;0.189923517;0.02148346;0.987366337;0.974732674
25 5 3;0.097990618;0.051725569;0.642146289;0.463219433
29 L1 1;0.60781961;0.051953386;0.978552161;0.971402882
29 L1 2;0.560747685;0.048936322;0.977662333;0.970216445
29 L1 3;0.577118146;0.0626165;0.965888838;0.954518451
29 5 1;0.203621675;0.151542181;0.474435383;0.211653074
29 5 2;0.196287481;0.100545834;0.655834563;0.483751844
29 5 3;0.214966842;0.05526788;0.883235891;0.824853836
31 L1 1;-0.094956868;0.03336711;0.536384082;0.470153237
31 L1 2;-0.172394978;0.049247496;0.636440798;0.58450377
31 L1 3;-0.161777898;0.023506737;0.871239688;0.852845358
31 5 1;0.032079691;0.047724611;0.060633494;-0.073561721
31 5 2;0.034859603;0.053339688;0.057507414;-0.077134384
31 5 3;-0.007801402;0.002645029;0.554120311;0.490423213
34 L1 1;-0.012667176;0.012217668;0.133120166;0.00928019
34 L1 2;-0.011396848;0.010190808;0.151586878;0.030385003
34 L1 3;-0.004598799;0.007598256;0.049729082;-0.086023906
34 5 1;-0.000631313;0.003147119;0.005715783;-0.13632482
34 5 2;0.001105463;0.003878412;0.011472841;-0.129745324
34 5 3;0.002903782;0.004147839;0.065432967;-0.068076609
31 L1 4;0.080919547;0.051942552;0.548221401;0.322332101
31 L1 5;0.085663919;0.016168344;0.965601989;0.931203977
