ID;Growth rate;Growth rate SE;R^2;adj R^2
10 L1 1;-0.049521003;0.007221463;0.870430265;0.851920303
10 L1 2;-0.049085174;0.008855595;0.814437362;0.787928413
10 L1 3;-0.061402025;0.006404336;0.929236829;0.919127804
10 5 1;-0.048204008;0.006515581;0.931896755;0.914870943
10 5 2;-0.055362208;0.004121336;0.978313603;0.972892004
10 5 3;-0.067374543;0.01239903;0.880692435;0.850865543
16 L1 1;0.219440855;0.014819722;0.982083485;0.977604357
16 L1 2;0.215170394;0.004669237;0.997651041;0.997181249
16 L1 3;0.231293562;0.014922623;0.979611416;0.9755337
16 5 1;0.263152024;0.017917669;0.986282588;0.981710117
16 5 2;0.277227134;0.018081097;0.987399372;0.983199162
16 5 3;0.264104922;0.011721423;0.99412551;0.992167347
20 L1 1;0.526018553;0.019859257;0.995742134;0.994322845
20 L1 2;0.525891649;0.035408745;0.986582147;0.98210953
20 L1 3;0.502124416;0.021413486;0.994573619;0.992764826
20 5 1;0.618978627;0.011157524;0.99935057;0.999025855
20 5 2;0.651573417;0.004894992;0.999887135;0.999830703
20 5 3;0.659423736;0.056226855;0.985667601;0.978501401
25 L1 1;0.617319078;0.032505669;0.994485233;0.99172785
25 L1 2;0.712201569;0.091800104;0.967840142;0.951760214
25 L1 3;0.664075018;0.071235336;0.977504005;0.966256008
25 5 1;0.737893828;0.074280646;0.980135407;0.970203111
25 5 2;0.667338618;0.037889267;0.990421856;0.987229141
25 5 3;0.753990406;0.060735501;0.987188975;0.980783462
29 L1 1;0.813833507;0.027079755;0.998894044;0.997788089
29 L1 2;0.797475285;0.0084633;0.999887385;0.99977477
29 L1 3;0.767745269;0.03314718;0.998139413;0.996278825
29 5 1;0.497292537;0.086706923;0.942683512;0.914025267
29 5 2;0.541389026;0.030002109;0.993895426;0.990843139
29 5 3;0.567017041;0.054671884;0.981745713;0.97261857
31 L1 1;0.881286779;0.125673873;0.980069762;0.960139525
31 L1 2;0.809402963;0.108860525;0.98223253;0.96446506
31 L1 3;0.815506091;0.091313772;0.98761754;0.97523508
31 5 1;0.971065631;0.089054467;0.991659791;0.983319581
31 5 2;0.964314611;0.016683193;0.99970078;0.99940156
31 5 3;0.9395212;0.043125415;0.997897484;0.995794968
34 L1 1;0.007076345;0.00557904;0.186877485;0.070717126
34 L1 2;0.007940084;0.004151161;0.343251379;0.249430148
34 L1 3;0.003492479;0.004514719;0.078755847;-0.052850461
34 5 1;0.443835011;0.048982582;0.976219675;0.964329512
34 5 2;0.4821701;0.042720841;0.984542351;0.976813527
34 5 3;0.517455988;0.023814424;0.995781797;0.993672695
